YEAR	STATE	SUM	REGION
1939	ILLINOIS	7900	Midwest
1939	INDIANA	2036	Midwest
1939	IOWA	5273	Midwest
1939	KANSAS	2889	Midwest
1939	KENTUCKY	2258	South
1939	LOUISIANA	3667	South
1939	MAINE	2298	Northeast
1939	MARYLAND	15295	South
1939	MASSACHUSETTS	23746	Northeast
1939	MICHIGAN	16923	Midwest
1939	MINNESOTA	18170	Midwest
1939	MISSISSIPPI	0	South
1939	MISSOURI	2902	Midwest
1939	MONTANA	10954	West
1939	NEBRSKA	3641	Midwest
1939	NEVADA	0	West
1939	NEW HAMPSHIRE	661	Northeast
1939	NEW JERSEY	4334	Northeast
1939	NEW MEXICO	1656	West
1939	NEW YORK	44812	Northeast
1939	NORTH CAROLINA	23355	South
1939	NORTH DAKOTA	5431	Midwest
1939	OHIO	5099	Midwest
1939	OKLAHOMA	4539	South
1939	OREGON	2379	West
1939	PENNSYLVANIA	18479	Northeast
1939	RHODE ISLAND	2925	Northeast
1939	SOUTH CAROLINA	1134	South
1939	SOUTH DAKOTA	7572	Midwest
1939	TENNESSEE	3118	South
1939	TEXAS	7380	South
1939	UTAH	5445	West
1939	VERMONT	3688	Northeast
1939	VIRGINIA	10529	South
1939	WASHINGTON	19868	West
1939	WEST VIRGINIA	1856	South
1939	WISCONSIN	23975	Midwest
1939	WYOMING	3458	West
1940	ALABAMA	3280	South
1940	ALASKA	0	West
1940	ARIZONA	1697	West
1940	ARKANSAS	1414	South
1940	CALIFORNIA	26167	West
1940	COLORADO	2625	West
1940	CONNECTICUT	6436	Northeast
1940	DELAWARE	101	South
1940	DISTRICT OF COLUMBIA	883	South
1940	FLORIDA	2192	South
1940	GEORGIA	2934	South
1940	HAWAII	0	West
1940	IDAHO	1767	West
1940	ILLINOIS	6658	Midwest
1940	INDIANA	577	Midwest
1940	IOWA	5399	Midwest
1940	KANSAS	8059	Midwest
1940	KENTUCKY	2798	South
1940	LOUISIANA	1139	South
1940	MAINE	7116	Northeast
1940	MARYLAND	4305	South
1940	MASSACHUSETTS	21541	Northeast
1940	MICHIGAN	15933	Midwest
1940	MINNESOTA	8382	Midwest
1940	MISSISSIPPI	0	South
1940	MISSOURI	593	Midwest
1940	MONTANA	2665	West
1940	NEBRSKA	1705	Midwest
1940	NEVADA	0	West
1940	NEW HAMPSHIRE	731	Northeast
1940	NEW JERSEY	12613	Northeast
1940	NEW MEXICO	1155	West
1940	NEW YORK	28562	Northeast
1940	NORTH CAROLINA	7523	South
1940	NORTH DAKOTA	961	Midwest
1940	OHIO	1559	Midwest
1940	OKLAHOMA	1409	South
1940	OREGON	7291	West
1940	PENNSYLVANIA	14712	Northeast
1940	RHODE ISLAND	3369	Northeast
1940	SOUTH CAROLINA	618	South
1940	SOUTH DAKOTA	1631	Midwest
1940	TENNESSEE	2797	South
1940	TEXAS	16060	South
1940	UTAH	7531	West
1940	VERMONT	880	Northeast
1940	VIRGINIA	5550	South
